building,name,lat,lon,first_seen,last_seen,note
64,IBK커뮤니케이션센터(64동),37.46383,126.94937,2021-1,2026-2,서울대 캠퍼스맵 API
66,학군단(66동),37.4567,126.95424,2025-2,2026-2,서울대 캠퍼스맵 API
71,체육관(71동),37.4676,126.95238,2026-2,2026-2,서울대 캠퍼스맵 API
71-1,,,,2021-1,2026-2,캠퍼스맵 미검색 — 좌표 필요
73,문화관(73동),37.46159,126.95104,2021-1,2023-2,서울대 캠퍼스맵 API
74,예술복합연구동(74동),37.46193,126.95312,2021-1,2026-2,서울대 캠퍼스맵 API
75,복지관(75동),37.45609,126.94909,2025-1,2026-2,서울대 캠퍼스맵 API
75-1,제3학생식당(75-1동),37.45647,126.94851,2021-1,2026-2,서울대 캠퍼스맵 API
80,수의대부속동물병원(80동),37.46822,126.95324,2026-2,2026-2,서울대 캠퍼스맵 API
81,생명공학연구동(81동),37.46698,126.95425,2021-1,2026-2,서울대 캠퍼스맵 API
82,환경대학원(82동),37.46237,126.95409,2021-1,2026-2,서울대 캠퍼스맵 API
83,인문사회계멀티미디어강의동(83동),37.46344,126.95168,2021-1,2026-2,서울대 캠퍼스맵 API
84,근대법학교육100주년기념관(84동),37.46226,126.95233,2021-1,2026-2,서울대 캠퍼스맵 API
85,수의과대학(85동),37.46744,126.95365,2021-1,2026-2,서울대 캠퍼스맵 API
85-1,수의대시약보관창고(85-1동),37.46799,126.95371,2021-1,2026-2,서울대 캠퍼스맵 API
86,치의학대학원 첨단교육연구복합단지(86동),37.46899,126.95304,2021-1,2026-2,서울대 캠퍼스맵 API
101,아시아연구소(101동),37.46328,126.95015,2021-1,2026-2,서울대 캠퍼스맵 API
103,규장각한국학연구원(103동),37.46226,126.95028,2023-2,2025-2,서울대 캠퍼스맵 API
105-2,유전공학연구소 신관(105-2동),37.4540404461522,126.95336213875,2021-1,2025-2,서울대 캠퍼스맵 API
129,수리과학연구동(129동),37.4578,126.94948,2026-2,2026-2,서울대 캠퍼스맵 API
132,뉴미디어통신공동연구소(132동),37.45487,126.95407,2023-S,2026-2,서울대 캠퍼스맵 API
135,에너지신기술연구동(135동),37.45439,126.95227,2022-2,2022-2,서울대 캠퍼스맵 API
140,국제대학원(140동),37.46427,126.95487,2021-1,2026-2,서울대 캠퍼스맵 API
140-1,국제대학원2(140-1동),37.46406,126.9546,2021-1,2026-2,서울대 캠퍼스맵 API
140-2,국제회의동(140-2동),37.46448,126.95497,2021-1,2026-2,서울대 캠퍼스맵 API
142,약학관5(142동),37.45663,126.9537,2021-1,2026-2,서울대 캠퍼스맵 API
143,약대신약개발연구센터(143동),37.45828,126.95308,2021-1,2026-2,서울대 캠퍼스맵 API
